filename,category,label,full_path
no (985).jpg,notumor,2,D:\.FyP New Vesion\dataset\notumor\no (985).jpg
gl (839).jpg,glioma,0,D:\.FyP New Vesion\dataset\glioma\gl (839).jpg
pi (592).jpg,pituitary,3,D:\.FyP New Vesion\dataset\pituitary\pi (592).jpg
no (877).jpg,notumor,2,D:\.FyP New Vesion\dataset\notumor\no (877).jpg
me (1543).jpg,meningioma,1,D:\.FyP New Vesion\dataset\meningioma\me (1543).jpg
no (933).jpg,notumor,2,D:\.FyP New Vesion\dataset\notumor\no (933).jpg
no (1149).jpg,notumor,2,D:\.FyP New Vesion\dataset\notumor\no (1149).jpg
me (441).jpg,meningioma,1,D:\.FyP New Vesion\dataset\meningioma\me (441).jpg
no (1075).jpg,notumor,2,D:\.FyP New Vesion\dataset\notumor\no (1075).jpg
gl (17).jpg,glioma,0,D:\.FyP New Vesion\dataset\glioma\gl (17).jpg
pi (1598).jpg,pituitary,3,D:\.FyP New Vesion\dataset\pituitary\pi (1598).jpg
me (1287).jpg,meningioma,1,D:\.FyP New Vesion\dataset\meningioma\me (1287).jpg
me (1409).jpg,meningioma,1,D:\.FyP New Vesion\dataset\meningioma\me (1409).jpg
gl (1585).jpg,glioma,0,D:\.FyP New Vesion\dataset\glioma\gl (1585).jpg
gl (49).jpg,glioma,0,D:\.FyP New Vesion\dataset\glioma\gl (49).jpg
me (424).jpg,meningioma,1,D:\.FyP New Vesion\dataset\meningioma\me (424).jpg
gl (1374).jpg,glioma,0,D:\.FyP New Vesion\dataset\glioma\gl (1374).jpg
gl (1355).jpg,glioma,0,D:\.FyP New Vesion\dataset\glioma\gl (1355).jpg
me (127).jpg,meningioma,1,D:\.FyP New Vesion\dataset\meningioma\me (127).jpg
no (987).jpg,notumor,2,D:\.FyP New Vesion\dataset\notumor\no (987).jpg
me (1457).jpg,meningioma,1,D:\.FyP New Vesion\dataset\meningioma\me (1457).jpg
